upc;filename;etat;gencod;prix_final;prix_base;nom;reference;id;short_description;quantite;manufacturer;categorie;unite;prix_unite;profondeur;weight;feature;minimal_quantity;;;
111212014;centraleachatexport.com/22863-small_default/l-assiette-croquante-chou-blanc-carotte-frisee-poivron-rouge.jpg;1;3,28023E+12;6.8685;6.868500;L'Assiette Croquante (Chou blanc, Carotte, Frisée, Poivron rouge);851741;14;L'Assiette Croquante (Chou blanc, Carotte, Frisée, Poivron rouge) FLORETTE le sachet de 250 g;10000;FLORETTE;1,2,6261,6271,6366,6554;5;5.000000;0.002772;1.400000;Conditionnement-le sachet de 250 g,Unité par carton-5,NB carton/palette-120,DLV Garantie-4,DLV Théorique-5;1;;;
111212015;centraleachatexport.com/22864-small_default/les-crudites-melangees-chou-blanc-carotte-celeri-branche.jpg;1;3,28023E+12;5.8575;5.857500;Les Crudités Mélangées (Chou blanc, Carotte & Céleri branche);851725;15;Les Crudités Mélangées (Chou blanc, Carotte &amp; Céleri branche) FLORETTE le sachet de 250 g;5.8575;FLORETTE;1,2,6261,6271,6366,6554;5;5.000000;0.002772;1.400000;Conditionnement-le sachet de 250 g,Unité par carton-5,NB carton/palette-120,DLV Garantie-5,DLV Théorique-6;1;;
111212016;centraleachatexport.com/22865-small_default/l-ecrase-de-pommes-de-terre-aux-2-carottes.jpg;1;3,42244E+12;10.4082;10.408200;L'Écrasé de pommes de terre aux 2 carottes;567248;16;L'Écrasé de pommes de terre aux 2 carottes CREALINE 2x200g;10000;CREALINE;1,2,6261,6271,6366,6554;4;4.000000;0.006256;2.250000;Conditionnement-2x200g,Unité par carton-4,NB carton/palette-96,DLV Garantie-16,DLV Théorique-19;1;;;
111213001;centraleachatexport.com/22870-small_default/sachet-mache.jpg;1;3,06143E+12;4.1589;4.158900;Sachet mache;964502;21;Sachet mache CRUDETTE Le sachet 45g;10000;CRUDETTE;1,2,6261,6271,6366,6624;6;6.000000;0.026400;0.670000;Conditionnement-Le sachet 45g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6;1;;;
111213002;centraleachatexport.com/22871-small_default/sachet-salade.jpg;1;3,06143E+12;4.1868;4.186800;Sachet salade;963926;22;Sachet salade CRUDETTE Le sachet 70g;9999;CRUDETTE;1,2,6261,6271,6366,6624;6;6.000000;0.026400;0.670000;Conditionnement-Le sachet 70g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6;1;;;
111213003;centraleachatexport.com/22872-small_default/sachet-laitue.jpg;1;3,06143E+12;4.2534;4.253400;Sachet laitue;964387;23;Sachet laitue CRUDETTE Le sachet 70g;10000;CRUDETTE;1,2,6261,6271,6366,6624;6;6.000000;0.026400;0.670000;Conditionnement-Le sachet 70g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6;1;;;
111213004;centraleachatexport.com/22873-small_default/sachet-roquette.jpg;1;3,06143E+12;4.1679;4.167900;Sachet roquette;963660;24;Sachet roquette CRUDETTE Le sachet 45g;9999;CRUDETTE;1,2,6261,6271,6366,6624;6;6.000000;0.026400;0.670000;Conditionnement-Le sachet 45g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6;1;;;
111213005;centraleachatexport.com/22874-small_default/coeur-de-laitue.jpg;1;3,08368E+12;8.8668;8.866800;Coeur de laitue;940148;25;Coeur de laitue BONDUELLE Le sachet 160g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.360000;1.250000;Conditionnement-Le sachet 160g,Unité par carton-6,NB carton/palette-80,DLV Garantie-5,DLV Théorique-6;1;;;
111213007;centraleachatexport.com/22876-small_default/roquette.jpg;1;3,08368E+12;8.1945;8.194500;Roquette;940403;27;Roquette BONDUELLE Le sachet 100g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.029913;1.000000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-80,DLV Garantie-6,DLV Théorique-7;1;;;
111213008;centraleachatexport.com/36919-small_default/feuille-de-chene.jpg;1;3,08368E+12;9.3222;9.322200;Feuille de chêne;940528;28;Feuille de chêne BONDUELLE Le sachet 125g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.025311;1.110000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-70,DLV Garantie-4,DLV Théorique-5;1;;;
111213009;centraleachatexport.com/22878-small_default/mache.jpg;1;3,08368E+12;7.3989;7.398900;Mâche;940122;29;Mâche BONDUELLE Le sachet 100g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.025311;0.960000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-30,DLV Garantie-6,DLV Théorique-7;1;;;
111213011;centraleachatexport.com/22880-small_default/salade-4-saveurs-gourmandes.jpg;1;3,08368E+12;8.9811;8.981100;Salade 4 saveurs gourmandes;939801;31;Salade 4 saveurs gourmandes BONDUELLE Le sachet 160g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.029913;1.380000;Conditionnement-Le sachet 160g,Unité par carton-6,NB carton/palette-70,DLV Garantie-5,DLV Théorique-7;1;;;
111213013;centraleachatexport.com/22882-small_default/salade-feuille-de-chene-rouge.jpg;1;3,08368E+12;9.3222;9.322200;Salade Feuille de chêne rouge;940502;33;Salade Feuille de chêne rouge BONDUELLE Le sachet 125g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.020000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-80,DLV Garantie-4,DLV Théorique-5;1;;;
111213014;centraleachatexport.com/22883-small_default/mache-et-roquette.jpg;1;3,08368E+12;8.6589;8.658900;Mâche et Roquette;873802;34;Mâche et Roquette BONDUELLE Le sachet 100g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;0.700000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-80,DLV Garantie-6,DLV Théorique-7;1;;;
111213015;centraleachatexport.com/22884-small_default/jeunes-pousses-epinard.jpg;1;3,08368E+12;8.5833;8.583300;Jeunes pousses épinard;948943;35;Jeunes pousses épinard BONDUELLE Le sachet 100g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.080000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-50,DLV Garantie-5,DLV Théorique-6;1;;;
111213016;centraleachatexport.com/22885-small_default/laitue-romaine.jpg;1;3,08368E+12;10.3356;10.335600;Laitue romaine;959247;36;Laitue romaine BONDUELLE Le sachet 125g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.200000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-80,DLV Garantie-5,DLV Théorique-6;1;;;
111213017;centraleachatexport.com/22886-small_default/laitue-iceberg.jpg;1;3,08368E+12;9.9756;9.975600;Laitue Iceberg;873745;37;Laitue Iceberg BONDUELLE Le sachet 280g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.920000;Conditionnement-Le sachet 280g,Unité par carton-6,NB carton/palette-80,DLV Garantie-7,DLV Théorique-8;1;;;
111213018;centraleachatexport.com/22887-small_default/salade-mesclun.jpg;1;3,08368E+12;11.1879;11.187900;Salade Mesclun;986182;38;Salade Mesclun BONDUELLE Le sachet 145g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.048000;1.220000;Conditionnement-Le sachet 145g,Unité par carton-6,NB carton/palette-60,DLV Garantie-5,DLV Théorique-6;1;;;
111213019;centraleachatexport.com/22888-small_default/jeunes-pousses-batavia-laitue-rouge-romaine-.jpg;1;3,08368E+12;11.1879;11.187900;Jeunes Pousses Batavia-Laitue rouge-Romaine -;942888;39;Jeunes Pousses Batavia-Laitue rouge-Romaine -  BONDUELLE le sachet 145 g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.500000;Conditionnement-le sachet 145 g,Unité par carton-6,NB carton/palette-50,DLV Garantie-5,DLV Théorique-6;1;;;
111213020;centraleachatexport.com/22889-small_default/salade-jeunes-poussesroquette.jpg;1;3,08368E+12;11.1879;11.187900;Salade jeunes pousses&roquette;848564;40;Salade jeunes pousses&amp;roquette BONDUELLE Le sachet 145g;11.1879;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;1.120000;Conditionnement-Le sachet 145g,Unité par carton-6,NB carton/palette-80,DLV Garantie-4,DLV Théorique-5;1;;
111213021;centraleachatexport.com/22890-small_default/salade-du-jour.jpg;1;3,08368E+12;9.6912;9.691200;Salade du jour;876946;41;Salade du jour BONDUELLE Le sachet 125g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;0.999000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-80,DLV Garantie-5,DLV Théorique-6;1;;;
111213022;centraleachatexport.com/28072-small_default/feuille-mache.jpg;1;3,08368E+12;9.6723;9.672300;Feuille mache;567941;42;Feuille mache BONDUELLE Le sachet 100g;10000;BONDUELLE;1,2,6261,6271,6366,6624;6;6.000000;0.024000;0.845000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-80,DLV Garantie-5,DLV Théorique-6;1;;;
111213023;centraleachatexport.com/22891-small_default/coeur-de-scarole.jpg;1;3,25856E+12;5.7222;5.722200;Coeur de scarole;979120;43;Coeur de scarole BELLE FRANCE Le sachet 200g;10000;BELLE FRANCE;1,2,6261,6271,6366,6624;6;6.000000;0.031200;1.429000;Conditionnement-Le sachet 200g,Unité par carton-6,NB carton/palette-64,DLV Garantie-5,DLV Théorique-6,Produits belle france -oui;1;;;
111213024;centraleachatexport.com/22892-small_default/feuille-de-chene.jpg;1;3,25856E+12;4.8789;4.878900;Feuille de chène;979146;44;Feuille de chène BELLE FRANCE Le sachet 125g;9994;BELLE FRANCE;1,2,6261,6271,6372,6626;6;6.000000;0.031200;0.979000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-64,DLV Garantie-5,DLV Théorique-6,Produits belle france -oui;1;;;
111213025;centraleachatexport.com/22893-small_default/coeur-de-frisee.jpg;1;3,25856E+12;6.0057;6.005700;Coeur de frisée;979161;45;Coeur de frisée  BELLE FRANCE Le sachet 170g;10000;BELLE FRANCE;1,2,6261,6271,6366,6624;6;6.000000;0.031200;1.249000;Conditionnement-Le sachet 170g,Unité par carton-6,NB carton/palette-64,DLV Garantie-5,DLV Théorique-6,Produits belle france -oui;1;;;
111213026;centraleachatexport.com/37789-small_default/coeur-de-laitue.jpg;1;3,25856E+12;6.4701;6.470100;Coeur de laitue;940486;46;Coeur de laitue  BELLE FRANCE Le sachet 200g;10000;BELLE FRANCE;1,2,6261,6271,6366,6624;6;6.000000;0.029913;1.300000;Conditionnement-Le sachet 200g,Unité par carton-6,NB carton/palette-68,DLV Garantie-4,DLV Théorique-5,Produits belle france -oui;1;;;
111213027;centraleachatexport.com/37174-small_default/bouquet-de-mache.jpg;1;3,25856E+12;4.3134;4.313400;Bouquet de mache;940825;47;Bouquet de mache  BELLE FRANCE Le sachet 125g;10000;BELLE FRANCE;1,2,6261,6271,6366,6624;4;4.000000;0.029913;1.000000;Conditionnement-Le sachet 125g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6,Produits belle france -oui;1;;;
111213028;centraleachatexport.com/37449-small_default/salade-iceberg.jpg;1;3,25856E+12;4.1934;4.193400;Salade Iceberg;954545;48;Salade Iceberg BELLE FRANCE Le sachet 300g;9996;BELLE FRANCE;1,2,6261,6271,6366,6624;4;4.000000;0.026400;2.113000;Conditionnement-Le sachet 300g,Unité par carton-6,NB carton/palette-64,DLV Garantie-4,DLV Théorique-5,Produits belle france -oui;1;;;
111213029;centraleachatexport.com/37997-small_default/panache-de-salades-jeunes-pousses.jpg;1;3,25856E+12;3.4482;3.448200;Panaché de salades jeunes pousses;942425;49;Panaché de salades jeunes pousses  BELLE FRANCE Le sachet 100g;9999;BELLE FRANCE;1,2,6261,6271,6366,6624;4;4.000000;0.028800;1.000000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-68,DLV Garantie-4,DLV Théorique-5,Produits belle france -oui;1;;;
111213030;centraleachatexport.com/37645-small_default/roquette.jpg;1;3,25856E+12;3.5682;3.568200;Roquette;954560;50;Roquette   BELLE FRANCE Le sachet 200g;9995;BELLE FRANCE;1,2,6261,6271,6366,6624;4;4.000000;0.026400;0.913000;Conditionnement-Le sachet 200g,Unité par carton-6,NB carton/palette-64,DLV Garantie-4,DLV Théorique-5,Produits belle france -oui;1;;;
111213031;centraleachatexport.com/22899-small_default/melange-mache-roquette.jpg;1;3,25856E+12;3.5496;3.549600;Mélange mache roquette;955104;51;Mélange mache roquette   BELLE FRANCE Le sachet 100g;9999;BELLE FRANCE;1,2,6261,6271,6366,6624;4;4.000000;0.026400;0.850000;Conditionnement-Le sachet 100g,Unité par carton-6,NB carton/palette-68,DLV Garantie-4,DLV Théorique-5,Produits belle france -oui;1;;;
111213032;centraleachatexport.com/37460-small_default/melee-gourmande.jpg;1;3,25856E+12;6.1857;6.185700;Mélée gourmande;940841;52;Mélée gourmande   BELLE FRANCE Le sachet 200g;10000;BELLE FRANCE;1,2,6261,6271,6366,6624;6;6.000000;0.029913;1.300000;Conditionnement-Le sachet 200g,Unité par carton-6,NB carton/palette-68,DLV Garantie-5,DLV Théorique-6,Produits belle france -oui;1;;;
111213033;centraleachatexport.com/28602-small_default/salade-melangee.jpg;1;3,25857E+12;12.3564;12.356400;Salade mélangée;900688;53;<p>Salade mélangée ECOPRIX le sachet 250 g</p>;9998;ECOPRIX;1,2,6261,6271,6366,6624;14;14.000000;0.050622;1.500000;Conditionnement-le sachet 250 g,Unité par carton-14,NB carton/palette-45,DLV Garantie-4,DLV Théorique-5;1;;;
111213034;centraleachatexport.com/22901-small_default/salade-melangee.jpg;1;3,28022E+12;11.2548;11.254800;Salade melangée;812487;54;Salade melangée FLORETTE Le sachet 180g;10000;FLORETTE;1,2,6261,6271,6366,6624;8;8.000000;0.002926;1.100000;Conditionnement-Le sachet 180g,Unité par carton-8,NB carton/palette-60,DLV Garantie-6,DLV Théorique-7;1;;;
112212001;centraleachatexport.com/38586-small_default/100-pur-jus-d-oranges-pressees.jpg;1;3,60858E+12;15.4413;15.441300;100% pur jus d'oranges pressées;938621;58;100% pur jus d'oranges pressées ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.013832;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212001;centraleachatexport.com/34883-small_default/verre-anchois.jpg;1;3,14263E+12;43.956;43.956000;Verre anchois;521740;59;<p>Verre anchois WINNY Le pot 100g</p>;9995;WINNY;1,2,6261,6271,6370,6482;24;24.000000;0.006270;2.400000;Conditionnement-Le pot 100g,Unité par carton-24,NB carton/palette-195,DLV Garantie-120,DLV Théorique-180;1;;;
112212002;centraleachatexport.com/22906-small_default/jus-d-oranges-sanguines-pressees.jpg;1;3,04532E+12;20.8134;20.813400;Jus d'oranges sanguines pressées;938761;60;Jus d'oranges sanguines pressées ANDROS La bouteille 1L;9999;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.012636;6.400000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-40;1;;;
112212002;centraleachatexport.com/22907-small_default/filets-de-maquereaux-fumes-au-poivre.jpg;1;3,16406E+12;11.0082;11.008200;Filets de maquereaux fumés au poivre;915165;61;Filets de maquereaux fumés au poivre SIMON La barquette 170g;10000;SIMON;1,2,6261,6271,6370,6482;4;4.000000;0.003200;0.680000;Conditionnement-La barquette 170g,Unité par carton-4,NB carton/palette-144,DLV Garantie-16,DLV Théorique-21;1;;;
112212003;centraleachatexport.com/22908-small_default/jus-d-orange-sans-pulpe.jpg;1;3,04532E+12;16.0668;16.066800;Jus d'orange sans pulpe;942482;62;Jus d'orange sans pulpe ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.013832;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212003;centraleachatexport.com/22909-small_default/filets-d-anchois-allonges-a-l-huile-equilibre.jpg;1;3,17569E+12;33.4224;33.422400;Filets d'anchois allongés à l'huile équilibre;521500;63;Filets d'anchois allongés à l'huile équilibre LA MONEGASQUE La boîte 32g;9998;LA MONEGASQUE;1,2,6261,6271,6370,6482;24;24.000000;0.004158;7.500000;Conditionnement-La boîte 32g,Unité par carton-24,NB carton/palette-380,DLV Garantie-120,DLV Théorique-300;1;;;
112212004;centraleachatexport.com/22910-small_default/100-pur-jus-de-clementines-pressees.jpg;1;3,60858E+12;15.7824;15.782400;100% pur jus de clémentines pressées;938720;64;100% pur jus de clémentines pressées ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.013832;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212004;centraleachatexport.com/37493-small_default/filets-d-anchois.jpg;1;3,17569E+12;33.6888;33.688800;Filets d'anchois;521526;65;<p>Filets d'anchois LA MONEGASQUE La boite 50g</p>;9990;LA MONEGASQUE;1,2,6261,6271,6370,6482;24;24.000000;0.003380;7.500000;Conditionnement-La boite 50g,Unité par carton-24,NB carton/palette-380,DLV Garantie-120,DLV Théorique-300;1;;;
112212005;centraleachatexport.com/22911-small_default/jus-d-ananas-presses.jpg;1;3,04532E+12;18.9567;18.956700;Jus d'ananas pressés;942342;66;Jus d'ananas pressés ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.013832;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-30,DLV Théorique-50;1;;;
112212005;centraleachatexport.com/22912-small_default/oeufslompe-noir.jpg;1;3,24699E+12;33.3468;33.346800;Oeufs de lompe noir;526665;67;<p>Oeufs de lompe noir DELICEMER La boite 100g</p>;9997;DELICEMER;1,2,6261,6271,6370,6482;12;12.000000;0.003528;2.600000;Conditionnement-La boite 100g,Unité par carton-12,NB carton/palette-196,DLV Garantie-150,DLV Théorique-180;1;;;
112212006;centraleachatexport.com/22913-small_default/jus-de-citrons-presses.jpg;1;3,04532E+12;15.3846;15.384600;Jus de citrons pressés;861245;68;Jus de citrons pressés ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.011232;6.662000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212006;centraleachatexport.com/22914-small_default/oeufslompe-rouge.jpg;1;3,24699E+12;33.3468;33.346800;Oeufs de lompe rouge;527226;69;<p>Oeufs de lompe rouge DELICEMER La boite 100g</p>;9997;DELICEMER;1,2,6261,6271,6370,6482;12;12.000000;0.004830;1.730000;Conditionnement-La boite 100g,Unité par carton-12,NB carton/palette-182,DLV Garantie-100,DLV Théorique-180;1;;;
112212007;centraleachatexport.com/22915-small_default/jus-de-raisins-muscates-presses.jpg;1;3,04532E+12;16.938;16.938000;Jus de raisins muscatés pressés;938688;70;Jus de raisins muscatés pressés ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.012636;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212007;centraleachatexport.com/38270-small_default/oeufs-de-saumon.jpg;1;3,44043E+12;25.9857;25.985700;Oeufs de saumon;527325;71;Oeufs de saumon COMPTOIR DU CAVIAR La boîte 50g;9995;COMPTOIR DU CAVIAR;1,2,6261,6271,6370,6482;6;6.000000;0.001260;0.350000;Conditionnement-La boîte 50g,Unité par carton-6,NB carton/palette-520,DLV Garantie-45,DLV Théorique-90;1;;;
112212009;centraleachatexport.com/37398-small_default/jus-d-orange-bio.jpg;1;3,04532E+12;19.3734;19.373400;Jus d'orange bio;840025;74;<p>Jus d'orange bio ANDROS La bouteille 75cl</p>;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.007590;4.800000;Conditionnement-La bouteille 75cl,Unité par carton-6,NB carton/palette-150,DLV Garantie-32,DLV Théorique-40,Produits bio-oui;1;;;
112212009;centraleachatexport.com/38730-small_default/filets-de-harengs-fumes-doux.jpg;1;3,25856E+12;9.6822;9.682200;Filets de Harengs fumés doux;916601;75;Filets de Harengs fumés doux BELLE FRANCE La barquette 200g;9995;BELLE FRANCE;1,2,6261,6271,6370,6482;6;6.000000;0.004620;2.400000;Conditionnement-La barquette 200g,Unité par carton-12,NB carton/palette-315,DLV Garantie-30,DLV Théorique-37,Produits belle france -oui;1;;;
112212010;centraleachatexport.com/38218-small_default/filets-de-harengs-fumes-naturel.jpg;1;3,25856E+12;9.6822;9.682200;Filets de Harengs fumés naturel;916627;77;Filets de Harengs fumés naturel BELLE FRANCE La barquette 200g;9990;BELLE FRANCE;1,2,6261,6271,6370,6482;6;6.000000;0.004620;2.400000;Conditionnement-La barquette 200g,Unité par carton-12,NB carton/palette-189,DLV Garantie-30,DLV Théorique-37,Produits belle france -oui;1;;;
112212011;centraleachatexport.com/22923-small_default/100-pur-jus-de-pommes-pressees.jpg;1;3,60858E+12;16.1802;16.180200;100% pur jus de pommes pressées;938662;78;100% pur jus de pommes pressées ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.012636;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212012;centraleachatexport.com/22925-small_default/boisson-au-cranberry.jpg;1;3,60858E+12;13.8213;13.821300;Boisson au cranberry;761460;80;Boisson au cranberry  ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.011178;6.200000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-25,DLV Théorique-30;1;;;
112212013;centraleachatexport.com/22927-small_default/jus-de-pamplemousses-roses-presses.jpg;1;3,60858E+12;19.4013;19.401300;Jus de pamplemousses roses pressés;938746;82;Jus de pamplemousses roses pressés  ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.012636;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
112212013;centraleachatexport.com/36998-small_default/filet-de-morue.jpg;1;3,43541E+12;41.7708;41.770800;Filet de Morue;845446;83;Filet de Morue PÊCHEURS D'ISLANDE L'étui 400g;10000;PÊCHEURS D'ISLANDE;1,2,6261,6271,6370,6482;8;8.000000;0.006600;3.420000;Conditionnement-L'étui 400g,Unité par carton-8,NB carton/palette-180,DLV Garantie-18,DLV Théorique-40;1;;;
112212014;centraleachatexport.com/22929-small_default/jus-multi-vitamines.jpg;1;3,60858E+12;17.7534;17.753400;Jus multi vitamines;938704;84;Jus multi vitamines ANDROS La bouteille 1L;10000;ANDROS;1,2,6261,6271,6367,6394;6;6.000000;0.013122;9.000000;Conditionnement-La bouteille 1L,Unité par carton-6,NB carton/palette-105,DLV Garantie-35,DLV Théorique-45;1;;;
