reference;nom;marque;conditionnement
985788;Brandade de morue parmentière;BELLE FRANCE;L'étui 400 g
985465;Gratin de poisson;BELLE FRANCE;L'étui 450 g
985549;Poisson à l oseille;BELLE FRANCE;L'étui 400 g
985721;Poisson à la bordelaise;BELLE FRANCE;L'étui 400 g
985705;Poisson à la parisienne;BELLE FRANCE;L'étui 400 g
985747;Poisson à la provençale;BELLE FRANCE;L'étui 400 g
524504;Torsade au colin et saumon;BELLE FRANCE;La barquette 300 g
986000;Hachis parmentier;BELLE FRANCE;La barquette 300 g
985804;Hachis parmentier;BELLE FRANCE;L'étui 500 g
952267;Penne au poulet sauce forestière;BELLE FRANCE;La barquette 300G
948364;Poêlée campagnarde;BELLE FRANCE;Le sachet 900 g
830745;Poulet au curry et riz;BELLE FRANCE;La barquette 300 g
985820;Moussaka aubergines bœ
;BELLE FRANCE;La barquette 460 g
948349;Paella royale;BELLE FRANCE;Le sachet 900 g
948406;Riz à la cantonaise;BELLE FRANCE;Le sachet 600 g
952085;Steak hache vbf 15 % mg x 10;BELLE FRANCE;L'étui 1 KG
944488;Steak hache vbf 15 % mg x 2;BELLE FRANCE;L'étui 200 g
944504;Steak hache vbf 15 % mg x 4;BELLE FRANCE;L'étui 400 g
951905;Steak hache 20% mg x 10;ECOPRIX;L'étui 1 KG
984963;Nugget de poulet x 20;BELLE FRANCE;L'étui 360 g
951921;Burger 15% mg x 10;ECOPRIX;L'étui 1 KG
985408;Bâtonnet de poisson pane x 10;BELLE FRANCE;L'étui 300 g
985267;Filet de cabillaud pane x 8;BELLE FRANCE;L'étui 400 g
985309;Filet de colin d Alaska pane x 8;BELLE FRANCE;L'étui 400 g
985200;Filet de cabillaud nature x 4;BELLE FRANCE;L'étui 400 g
985226;Filet de colin d Alaska nature x 4;BELLE FRANCE;L'étui 400 g
960229;Brocoli;BELLE FRANCE;Le sachet 1 KG
979369;Carotte en rondelles;BELLE FRANCE;Le sachet 1 KG
960427;Champignon de paris émince;BELLE FRANCE;Le sachet 1 KG
960203;Chou fleur;BELLE FRANCE;Le sachet 1 KG
990168;Courgette en rondelles;BELLE FRANCE;Le sachet 1 KG
960369;Épinard branche;BELLE FRANCE;La boite 450 g
960468;Épinard branche portion;BELLE FRANCE;Le sachet 1 KG
960484;Épinard hache;BELLE FRANCE;Le sachet 1 KG
960443;Haricot vert extra-fin;BELLE FRANCE;L'étui 300 g
960245;Haricot vert extra-fin;BELLE FRANCE;Le sachet 1 KG
960344;Oignon émince;BELLE FRANCE;Le sachet 1 KG
960385;Petit pois extra-fin;BELLE FRANCE;L'étui 450 g
960401;Petit pois extra-fin;BELLE FRANCE;Le sachet 1 KG
857029;Julienne de légumes;BELLE FRANCE;Le sachet 600 g
960286;Légume pour couscous;BELLE FRANCE;Le sachet 1 KG
960328;Légume pour ratatouille;BELLE FRANCE;Le sachet 1 KG
857045;Trio de poivrons;BELLE FRANCE;Le sachet 600 g
987024;Épinard hache à la crème;BELLE FRANCE;L'étui 450 g
803486;Gratin d aubergines;BELLE FRANCE;La barquette micro-ondable 400 g
792788;Gratin dauphinois;BELLE FRANCE;La barquette micro-ondable 400G
792804;Gratin de choux fleurs;BELLE FRANCE;La barquette micro-ondable 400 g
803460;Gratin de courgettes;BELLE FRANCE;La barquette micro-ondable 400 g
496729;Mini gratin choux fleurs x 4;BELLE FRANCE;L'étui 480 g
496745;Mini gratin dauphinois x 4;BELLE FRANCE;L'étui 480 g
960260;Poêlée champêtre;BELLE FRANCE;Le sachet 1 KG
960500;Poêlée méridionale;BELLE FRANCE;Le sachet 1 KG
960526;Poêlée parisienne;BELLE FRANCE;Le sachet 1 KG
986828;Frite 10/10;BELLE FRANCE;Le sachet 1 KG
873729;Frite allumette 7/7;BELLE FRANCE;Le sachet 1 KG
986968;Frite au four;BELLE FRANCE;Le sachet 600 g
527663;Frite 10/10;ECOPRIX;Le sachet 2.5 KG
987008;Pomme noisette;BELLE FRANCE;Le sachet 1 KG
986869;Pomme noisette;BELLE FRANCE;Le sachet 500 g
986984;Pomme rissolée;BELLE FRANCE;Le sachet 1 KG
986885;Pomme rissolée;BELLE FRANCE;Le sachet 500 g
986901;Pomme dauphine;BELLE FRANCE;Le sachet 500 g
986927;Potatoe quartier de pomme de terre;BELLE FRANCE;Le sachet 500 g
953786;Purée pomme de terre;BELLE FRANCE;Le sachet 750 g
992263;Crème glacée café grains;BELLE FRANCE;Le bac 1L519 g
992305;Crème glacée caramel morceaux;BELLE FRANCE;Le bac 1L520 g
992222;Crème glacée chocolat copeaux;BELLE FRANCE;Le bac 1L505 g
992123;Crème glacée crème brulée nougat;BELLE FRANCE;Le bac 900ML 468G
992081;Crème glacée fraise morceaux;BELLE FRANCE;Le bac 1L520 g
992248;Crème glacée nougat morceaux;BELLE FRANCE;Le bac 1L524 g
992487;Crème glacée pistache morceaux;BELLE FRANCE;Le bac 1L520 g
992289;Crème glacée rhum raisin;BELLE FRANCE;Le bac 1L555 g
992206;Crème glacée vanille;BELLE FRANCE;Le bac 1L520 g
992149;Sorbet citron morceaux;BELLE FRANCE;Le bac 1L550 g
992107;Sorbet framboise morceaux;BELLE FRANCE;Le bac 1L550 g
992164;Sorbet poire morceaux;BELLE FRANCE;Le bac 1L549 g
548081;Dessert glace vanille caramel;BELLE FRANCE;L'étui 380 g
567586;Bâtonnet chocolat;BELLE FRANCE;L'étui 10 X 70 ml
567602;Bâtonnet vanille;BELLE FRANCE;L'étui 10 X 70 ml
992347;Geant vanille chocolat lait amandes;BELLE FRANCE;L'étui 3 X 120ML
992321;Geant vanille chocolat blanc;BELLE FRANCE;L'étui 3 X 120 ml
874586;Geant vanille chocolat lait;BELLE FRANCE;L'étui 3 X 120 ml
540765;Fusée au jus de fruit;BELLE FRANCE;L'étui 8 X 60 ml
999680;Mini bâtonnet vanille;BELLE FRANCE;L'étui 8 X 50 ml 287.5 g
992461;Cône chocolat;BELLE FRANCE;L'étui 6 X 120 ml
992446;Cône chocolat pistache;BELLE FRANCE;L'étui 6 X 120 ml
992404;Cône vanille;BELLE FRANCE;L'étui 6 X 120 ml
992388;Cône vanille fraise;BELLE FRANCE;L'étui 6 X 120 ml
992420;Cône vanille praline;BELLE FRANCE;L'étui 6 X 120 ml
999821;Ptit pot van fraise van choc;BELLE FRANCE;L'étui 12X60 ml 368G
989780;Cœur fondant au chocolat x 2;BELLE FRANCE;L'étui 190 g
989905;Fondant au chocolat à partager;BELLE FRANCE;L'étui 450 g
592543;Macaron x 12;BELLE FRANCE;L'étui 120 g
592527;Tarte tatin;BELLE FRANCE;L'étui 600 g
599142;Lait écrème uht le Réflexe Bio;BELLE FRANCE;La bouteille 1L
161844;Lait 1/2 écrème stérilise uht;BELLE FRANCE;La brique 1L
163600;Lait 1/2 écrème délactose stérilise uht;BELLE FRANCE;La bouteille 1L
161760;Lait 1/2 écrème stérilise uht;BELLE FRANCE;La bouteille 1L
163204;Lait 1/2 écrème stérilise uht;BELLE FRANCE;La bouteille 6 X 50cl
658260;Lait 1/2 écrème stérilise uht le Réflexe Bio;BELLE FRANCE;La bouteille 1L
163485;Lait 1/2 écrème stérilise uht le Réflexe Bio;BELLE FRANCE;La bouteille 6X 50cl
163501;Lait écrème uht;BELLE FRANCE;La bouteille 1L
163246;Lait entier stérilise uht;BELLE FRANCE;La bouteille 1L
596122;Lait entier stérilise uht le Réflexe Bio;BELLE FRANCE;La bouteille 1L
663203;Œuf frais calibre moyen x 12;BELLE FRANCE;La boite de 12
663229;Œuf frais calibre moyen x 6;BELLE FRANCE;La boite de 6
663245;Œuf frais calibre moyen x 10;ECOPRIX;La boite de 10
663260;Œuf frais daté du jour de ponte calibre moyen x 12;BELLE FRANCE;La boite de 12
663161;Œuf frais daté du jour de ponte calibre gros x 6;BELLE FRANCE;La boite de 6
718189;Œuf frais plein air calibre moyen x 12;BELLE FRANCE;La boite de 12
663286;Œuf frais plein air calibre gros x 6;BELLE FRANCE;La boite de 6
663609;Œuf frais calibre moyen x 6 le Réflexe Bio;BELLE FRANCE;La boite de 6
679886;Beurre pasteurise doux fin;BELLE FRANCE;La plaquette 125 g
679902;Beurre pasteurise doux fin;BELLE FRANCE;La plaquette 250 g
684464;Beurre doux moule baratte Isigny ÂOP;LES DELICES DE BELLE FRANCE;250 g
566828;Beurre doux moule le Réflexe Bio;BELLE FRANCE;La plaquette 250 g
679985;Beurre pasteurise 1/2 sel fin;BELLE FRANCE;La plaquette 125 g
679928;Beurre pasteurise 1/2 sel fin;BELLE FRANCE;La plaquette 250 g
685024;Beurre 1/2 sel moule baratte Isigny AOP;LES DELICES DE BELLE FRANCE;250 g
679829;Margarine doux tournesol;BELLE FRANCE;La barquette 500 g
162560;Crème anglaise uht;BELLE FRANCE;La brique 50cl
526640;Camembert le Réflexe Bio;BELLE FRANCE;La boite 250 g
700229;Camembert de caractère;BELLE FRANCE;La boite 250 g
504829;Camembert de Normandie au lait cru;LES DELICES DE BELLE FRANCE;La boite 250 g
773325;Camembert lait de vache pasteurisé sel réduit;BELLE FRANCE;250 g
679969;Camembert lait de vache pasteurise;BELLE FRANCE;La boite 250 g
729442;Petit camembert lait de vache pasteurisé;BELLE FRANCE;La boite 150 g
662601;Camembert lait pasteurise;ECOPRIX;240 g
695049;Brie de Meaux au lait crue AOP;LES DELICES DE BELLE FRANCE;
748087;Carre de l est;BELLE FRANCE;230 g
699561;Le crémeux fromage au lait pasteurise;BELLE FRANCE;La boite 200 g
719021;Petit brie crémeux lait pasteurise;BELLE FRANCE;500 g
747741;Pointe de brie crémeux;BELLE FRANCE;200 g
684506;Coulommiers lait pasteurise;BELLE FRANCE;La boite 350 g
692921;Coulommiers lait pasteurise;ECOPRIX;320 g
682385;Brique au lait de vache;BELLE FRANCE;200 g
656223;Neufchâtel AOP lait cru;LES DELICES DE BELLE FRANCE;200 g
681569;Saint Félicien;LES DELICES DE BELLE FRANCE;180 g
682369;Saint Marcellin;LES DELICES DE BELLE FRANCE;80 g
588905;Brillat Savarin;LES DELICES DE BELLE FRANCE;200 g
699025;Pave roux lait de vache pasteurise;BELLE FRANCE;220 g
690347;Petit munster Gérôme lait vache pasteurisé ao;BELLE FRANCE;200 g
694422;Petit pont l Evêque ao;LES DELICES DE BELLE FRANCE;La boite 220 g
555789;Quart maroilles;LES DELICES DE BELLE FRANCE;La boite 200 g
697367;Mimolette 1/2 vieille;LES DELICES DE BELLE FRANCE;200 g
682500;Petit reblochon de Savoie au lait cru ao;BELLE FRANCE;240 g
498485;Reblochon lait cru de Savoie ao;LES DELICES DE BELLE FRANCE;450 g
555805;Saint nectaire laitier ao;LES DELICES DE BELLE FRANCE;300 g
505784;St Servan lait de vache pasteurise;BELLE FRANCE;300 g
697383;Tomme de Savoie lait cru IGP;LES DELICES DE BELLE FRANCE;
662726;Tomme des pyrènes IGP;LES DELICES DE BELLE FRANCE;
766683;Cheddar en tranches;BELLE FRANCE;La barquette 200 g
567503;Cheddar extra mature;BELLE FRANCE;200 g
525667;Edam en portion;BELLE FRANCE;230 g
682609;Edam en tranches;BELLE FRANCE;La barquette 200 g
525600;Gouda en portion;BELLE FRANCE;290 g
682583;Gouda en tranches;BELLE FRANCE;La barquette 200 g
525626;Macadam en portion;BELLE FRANCE;290 g
662569;Macadam en tranches;BELLE FRANCE;La barquette 200 g
525642;Mimolette en portion;BELLE FRANCE;230 g
682625;Mimolette en tranches;BELLE FRANCE;La barquette 200 g
695148;Raclette en tranches;BELLE FRANCE;La barquette 350 g
761502;Raclette sans croute;BELLE FRANCE;La barquette 400 g
690487;Emmental en tranches;BELLE FRANCE;La barquette 200 g
695981;Emmental français portion;BELLE FRANCE;250 g
581587;Emmental portion le Réflexe Bio;BELLE FRANCE;Le sachet 220 g
695726;Abondance lait cru entier ao;LES DELICES DE BELLE FRANCE;
697409;Beaumont de Savoie lait cru;LES DELICES DE BELLE FRANCE;
695767;Comte 10 mois d affinage ao;LES DELICES DE BELLE FRANCE;300 g
695163;Comte 4 mois d affinage minimum ao;BELLE FRANCE;300 g
727362;Parmigiano Reggiano AOP portion;LES DELICES DE BELLE FRANCE;200 g
581744;Emmental râpe le Réflexe Bio;BELLE FRANCE;Le sachet 100 g
729384;Comte râpe ao;BELLE FRANCE;Le sachet 140 g
688903;Parmigiano reggiano ao râpe;LES DELICES DE BELLE FRANCE;Le sachet 60 g
595009;Râpe aux 3 fromages;BELLE FRANCE;Le sachet avec zip 200 g
529545;Fromage de chèvre le Réflexe Bio;BELLE FRANCE;La barquette 150 g
685966;Sainte maure buche de chèvre;BELLE FRANCE;200 g
662981;Sainte maure de Touraine ao;LES DELICES DE BELLE FRANCE;La barquette 250 g
551168;Fromage de chèvre 45% mg;ECOPRIX;180 g
746669;Crottin de chavignol ao;LES DELICES DE BELLE FRANCE;2 X 60 g
668947;Crottin de chèvre;BELLE FRANCE;2 X 60 g
696765;Rocamadour lait cru ao x 3;LES DELICES DE BELLE FRANCE;La barquette 105 g
663005;Selles sur cher lait cru ao;LES DELICES DE BELLE FRANCE;150 g
746602;Fromage de chèvre à dorer;BELLE FRANCE;L'étui 100 g
686626;Fromage de chèvre;BELLE FRANCE;Le pot 150 g
687228;Fromage de chèvre frais;BELLE FRANCE;200 g
871442;Valencay lait cru ao;LES DELICES DE BELLE FRANCE;Le blister220 g
741785;Brique de brebis;BELLE FRANCE;La barquette 150 g
741769;Perail pur brebis;BELLE FRANCE;100 g
693168;Ossau Iraty lait pasteurisé ao;LES DELICES DE BELLE FRANCE;
681726;Bleu d auvergne ao;BELLE FRANCE;La barquette 125 g
693820;Bleu au lait entier;BELLE FRANCE;La boite 250 g
714683;Bleu fondant;BELLE FRANCE;La barquette 125 g
542902;Roquefort AOC le Réflexe Bio;BELLE FRANCE;La barquette 100 g
688762;Roquefort ao;BELLE FRANCE;La barquette 100 g
522821;Roquefort lait cru de brebis ao;BELLE FRANCE;La barquette 4 X 25 g
742809;Fromage fondu croquemonsieur x10 tranches;BELLE FRANCE;200G
742783;Fromage fondu hamburger x 10 tranches;BELLE FRANCE;200 g
698985;Cancoillotte ail;LES DELICES DE BELLE FRANCE;Le pot 250 g
698969;Cancoillotte nature;LES DELICES DE BELLE FRANCE;Le pot 250 g
686048;Spécialité fromagère nature;BELLE FRANCE;La barquette 150 g
684480;Fromage à tartiner ail et fines herbes;BELLE FRANCE;Le pot 125 g
598805;Burrata;LES DELICES DE BELLE FRANCE;Le pot 125 g
673640;Feta grecque ao;BELLE FRANCE;La barquette 150 g
688127;Feta grecque ao le Réflexe Bio;BELLE FRANCE;La barquette 150 g
591289;Feta grecque des dans l huile;LES DELICES DE BELLE FRANCE;Le pot verre 300 g
732081;Gorgonzola ao;LES DELICES DE BELLE FRANCE;La barquette 150 g
700245;Mascarpone;BELLE FRANCE;Le pot 250 g
682526;Mozzarella;BELLE FRANCE;Le sachet 125 g
607580;Mozzarella;BELLE FRANCE;Le sachet 250 g
767103;Mozzarella billes;BELLE FRANCE;Le sachet 125 g
688028;Mozzarella le Réflexe Bio;BELLE FRANCE;Le sachet 125 g
747386;Mozzarella di bufala Campana ao;LES DELICES DE BELLE FRANCE;Le sachet 125 g
563122;Ricotta;BELLE FRANCE;Le pot 250 g
675702;Yaourt nature;BELLE FRANCE;Le pot 16 X 125 g
662767;Yaourt nature sucre au sucre canne;BELLE FRANCE;Le pot 16 X125G
674309;Yaourt brasse nature;BELLE FRANCE;Le pot 8 X 125 g
585604;Yaourt lait entier nature pot verre;BELLE FRANCE;4 X 125 g
699421;Yaourt à la grecque nature;BELLE FRANCE;Le pot 4 X 150 g
712901;Yaourt de brebis nature le Réflexe Bio;BELLE FRANCE;Le pot 2 X 125 g
679449;Yaourt aromatise;BELLE FRANCE;Le pot 16 X 125 g
590521;Yaourt lait entier citron pot verre;BELLE FRANCE;4 X 125 g
585588;Yaourt lait entier vanille pot verre;BELLE FRANCE;4 X 125 g
712927;Yaourt de brebis vanille le Réflexe Bio;BELLE FRANCE;Le pot 2 X 125 g
680223;Yaourt aux fruits;BELLE FRANCE;Le pot 8 X 125 g
699447;Yaourt brasse mixe aux fruits;BELLE FRANCE;Le pot 8 X 125 g
677385;Yaourt de Savoie fraise myrtille;LES DELICES DE BELLE FRANCE;Le pot 4 X 150 g
677401;Yaourt de Savoie pèche abricot;LES DELICES DE BELLE FRANCE;Le pot 4 X 150 g
680264;Yaourt aux fruits 0% mg;BELLE FRANCE;Le pot 4 X 125 g
699504;Yaourt à boire saveur fraise;BELLE FRANCE;La bouteille 4 X 180G
689869;Crème fraiche Isigny ao;LES DELICES DE BELLE FRANCE;Le pot verre 20cl
677203;Crème fraiche légère épaisse 15% mg;BELLE FRANCE;Le pot 50cl
498444;Crème liquide entière uht 30% mg;BELLE FRANCE;La bouteille 2 X 25cl
689141;Crème liquide entière uht 30% mg;BELLE FRANCE;Briquette 3 X 20cl
498469;Crème liquide entière uht 30% mg le Réflexe Bio;BELLE FRANCE;Briquette 3X 20cl
690263;Crème liquide légère uht 15% mg;BELLE FRANCE;Briquette 3 X 20cl
699462;Fromage frais aromatise;BELLE FRANCE;Le pot 12 X 50 g
678805;Fromage blanc battu 0% mg;BELLE FRANCE;Le pot 1 KG
678789;Fromage blanc battu 0% mg;BELLE FRANCE;Le pot 500 g
543488;Fromage blanc 3% mg le Réflexe Bio;BELLE FRANCE;Le pot 500 g
678664;Fromage blanc battu 3% mg;BELLE FRANCE;Le pot 1 KG
678649;Fromage blanc battu 3% mg;BELLE FRANCE;Le pot 500 g
700708;Fromage blanc nature;BELLE FRANCE;Le pot 8 X 100 g
673046;Faisselle 0% mg;BELLE FRANCE;Le pot 4 X 100 g
678284;Faisselle 6% mg;BELLE FRANCE;Le pot 4 X 100 g
678268;Faisselle 6% mg;BELLE FRANCE;Le pot 500 g
674606;Crème dessert chocolat;BELLE FRANCE;Le pot 4 X 115 g
719286;Crème dessert chocolat et vanille;BELLE FRANCE;Le pot 12 X 115G
674648;Crème dessert vanille;BELLE FRANCE;Le pot 4 X 115 g
700104;Crème dessert caramel;BELLE FRANCE;Le pot 4 X 115 g
771584;Crème dessert café;BELLE FRANCE;Le pot 4 X 115 g
666388;Crème aux œufs saveur vanille;BELLE FRANCE;Le pot 4 X 100 g
666784;Crème caramel aux œufs extra frais;BELLE FRANCE;Le pot 4X100 g
719245;Flan nappe de caramel;BELLE FRANCE;Le pot 12 X 100 g
674549;Flan nappe de caramel;BELLE FRANCE;Le pot 4 X 100 g
662361;Petit pot de crème café;BELLE FRANCE;Le pot 4 X 100 g
662387;Petit pot de crème caramel;BELLE FRANCE;Le pot 4 X 100 g
680322;Petit pot de crème chocolat;BELLE FRANCE;Le pot 4 X 100 g
680306;Petit pot de crème vanille;BELLE FRANCE;Le pot 4 X 100 g
680348;Gâteau de riz au caramel;BELLE FRANCE;Le pot 4 X 100 g
700120;Gâteau de semoule aux raisins;BELLE FRANCE;Le pot 4 X 100 g
666826;Riz au lait saveur vanille;BELLE FRANCE;Le pot 4 X 115 g
676627;Semoule au lait saveur vanille;BELLE FRANCE;Le pot 4 X 115 g
666321;Ile flottante;BELLE FRANCE;Le pot 2 X 100 g
674705;Préparation pour crème brulée;BELLE FRANCE;Le pot 2 X 100 g
700088;Liégeois café;BELLE FRANCE;Le pot 4 X 100 g
699967;Liégeois chocolat;BELLE FRANCE;Le pot 4 X 100 g
719260;Liégeois saveur café et chocolat;BELLE FRANCE;Le pot 8 X 100 g
785964;Mousse liégeoise café;BELLE FRANCE;Le pot 4 X 80 g
785824;Mousse liégeoise chocolat;BELLE FRANCE;Le pot 4 X 80 g
699686;Mousse au chocolat au lait;BELLE FRANCE;Le pot 4 X 60 g
699728;Mousse au chocolat noir;BELLE FRANCE;Le pot 4 X 60 g
568568;Mousse au chocolat noir;LES DELICES DE BELLE FRANCE;L'étui 2 X 90 g
818245;Mousse au chocolat noir;LES DELICES DE BELLE FRANCE;Le pot 280 g
674622;Baba au rhum à la crème;BELLE FRANCE;Le pot 2 X 150 g
683383;clafouti aux cerises;BELLE FRANCE;Le pot 4 X 85 g
568485;Croustillant chocolatnoisette amande;LES DELICES DE BELLE FRANCE;L'étui 2 X80G
568543;Croustillant citron de Sicile;LES DELICES DE BELLE FRANCE;L'étui 2 X 80 g
568501;Croustillant noix coco chocolat noir;LES DELICES DE BELLE FRANCE;L'étui 2X 80G
746388;Panna cotta framboise;BELLE FRANCE;Le pot 2 X 120 g
691063;Profiterole;BELLE FRANCE;Le pot 2 X 90 g
568527;Tartelette caramel beurre sale;LES DELICES DE BELLE FRANCE;L'étui 2 X 80 g
691048;Tiramisu;BELLE FRANCE;Le pot 2 X 90 g
597120;Tiramisu framboise;BELLE FRANCE;Le pot 2 X 100 g
746362;Tiramisu spéculoos;BELLE FRANCE;Le pot 2 X 100 g
669580;Pur jus d orange avec pulpe;BELLE FRANCE;La brique 1L
599043;Pur jus d orange le Réflexe Bio;BELLE FRANCE;La brique 1L
657684;Pur jus d orange pressée;BELLE FRANCE;La bouteille PET 1L
669721;Cocktail de 11 fruits multivitaminés;BELLE FRANCE;La brique 1L
862763;Jus orange mangue riche en pulpe;BELLE FRANCE;La brique 1L
653303;Pur jus de pomme pressée;BELLE FRANCE;La bouteille PET 1L
910521;Crème de foie pur porc;BELLE FRANCE;La barquette 180 g
955120;Crème de foie pur porc;BELLE FRANCE;La barquette sécable 2X50 g
910562;Mousse de canard au porto;BELLE FRANCE;La barquette 180 g
979187;Mousse de canard au porto;BELLE FRANCE;La barquette 2 X 50 g
936385;Pate de tète persille;BELLE FRANCE;La barquette 180 g
910547;Terrine de camp pur porc;BELLE FRANCE;La barquette 180 g
955146;Terrine de camp pur porc;BELLE FRANCE;La barquette 2 X 50 g
936369;Terrine forestière pur porc;BELLE FRANCE;La barquette 180 g
919142;Pate de campagne demi lune;ECOPRIX;300 g
919100;Pate de foie demi lune;ECOPRIX;300 g
986943;Rillette de poulet rôti en marmite;BELLE FRANCE;Le pot 220 g
951061;Rillette du mans à l ancienne;LES DELICES DE BELLE FRANCE;Le pot 110 g
933861;Rillette du mans véritables pur porc;BELLE FRANCE;Le pot 220 g
861906;Lardon allumette nature;BELLE FRANCE;La barquette sécable 2 X 100 g
929828;Lardon nature;BELLE FRANCE;La barquette sécable 2 X 100 g
919068;Lardon nature;ECOPRIX;La barquette 200 g
930263;Lardon allumette fume;BELLE FRANCE;La barquette sécable 2 X 100 g
929802;Lardon fume;BELLE FRANCE;La barquette sécable 2 X 100 g
919043;Lardon fume;ECOPRIX;La barquette 200 g
956847;Poitrine fumée x 4 tranches;BELLE FRANCE;300 g
956821;Poitrine fumée x 8 tranches fines;BELLE FRANCE;La barquette 160 g
581983;Rôti de porc cuit sup x 4 tranches le Réflexe Bio;BELLE FRANCE;La barquette 120 g
944249;Rôti de porc cuit x 4 tranches;BELLE FRANCE;La barquette 150 g
501627;Rôti de poulet x 4 tranches;BELLE FRANCE;La barquette 160 g
597708;Jambon cuit de paris dd teneur réduite en sel x 4 tranches;BELLE FRANCE;La barquette 180 g
916643;Jambon cuit de paris dd x 2 tranches;BELLE FRANCE;La barquette 90 g
766048;Jambon cuit de paris dd x 4 tranches;BELLE FRANCE;La barquette 180 g
874065;Jambon cuit de paris dd x 6 tranches;BELLE FRANCE;La barquette 270 g
918862;Jambon cuit choix dd x6 tranches;ECOPRIX;La barquette 270G
769786;Jambon cuit sup dd teneur réduite en sel x 4 tranches;BELLE FRANCE;La barquette 160 g
765925;Jambon cuit sup dd x 2 tranches;BELLE FRANCE;La barquette 90 g
766022;Jambon cuit sup dd x 4 tranches;BELLE FRANCE;La barquette 180 g
762260;Jambon cuit sup dd x 4 tranches le Réflexe Bio;BELLE FRANCE;La barquette 120 g
929885;Jambon cuit sup dd x 4 tranches fines;BELLE FRANCE;La barquette 120G
765867;Jambon cuit sup dd x 6 tranches;BELLE FRANCE;La barquette 270 g
765768;Jambon cuit sup le torchon x 2 tranches;BELLE FRANCE;La barquette 90 g
765784;Jambon cuit sup le torchon x 4 tranches;BELLE FRANCE;La barquette 180 g
510248;Jambon cuit aux herbes;LES DELICES DE BELLE FRANCE;La barquette 100 g
765883;Jambon cuit sup AC x 2 tranches;BELLE FRANCE;La barquette 90 g
765800;Jambon cuit sup AC x 4 tranches;BELLE FRANCE;La barquette 180 g
766063;Jambon cuit sup fume AC x 2 tranches;BELLE FRANCE;La barquette 90 g
765826;Jambon cuit sup fume AC x 4 tranches;BELLE FRANCE;La barquette 180 g
769943;Blanc de poulet teneur réduite en sel x 4 tranches;BELLE FRANCE;La barquette 160 g
765685;Blanc de poulet x 2 tranches;BELLE FRANCE;La barquette 80 g
765701;Blanc de poulet x 4 tranches;BELLE FRANCE;La barquette 160 g
770008;Émince de poulet x 2;BELLE FRANCE;La barquette 150 g
765743;Blanc de dinde x 2 tranches;BELLE FRANCE;La barquette 80 g
765727;Blanc de dinde x 4 tranches;BELLE FRANCE;La barquette 160 g
570325;Jambon cru fume le Réflexe Bio;BELLE FRANCE;La barquette 100 g
919506;Jambon de Bayonne x 4 tranches gp;BELLE FRANCE;La barquette 100 g
953901;Jambon sec de Savoie x 4 tranches;BELLE FRANCE;La barquette 100 g
510008;Jambon de parme ao;LES DELICES DE BELLE FRANCE;La barquette 70 g
510222;Jambon sec;LES DELICES DE BELLE FRANCE;La barquette 70 g
510289;Bresaola;LES DELICES DE BELLE FRANCE;La barquette 70 g
510263;Coppa;LES DELICES DE BELLE FRANCE;La barquette 70 g
